x;y;life_span;mean_SpectralNorm;max_SpectralNorm;trend_SpectralNorm;mean_DeltaSpec;max_DeltaSpec;n_role_changes;EvolutionType;index_right;Name;Name_en;dist_to_station
3392756;7646439;49;0.07423790739016392;0.14459113577339872;-0.002134059004059596;0.0077480911810883695;0.10117788406634644;0;0;1856;ОРУ Северная ТЭЦ-21 220/110 кВ;ORU Severnaja TETs-21 220/110 kV;0.35858410276654806
3395928;7612723;15;0.01717151226193988;0.021132059544560395;-0.0006495975333961853;0.000896873908318823;0.004229501314809267;0;2;761;Октябрьская;Oktjabr'skaja;0.2629905889436292
3395941;7592206;11;0.016721877414606005;0.025343796399080732;-0.0013061090662929511;0.0016999653203829928;0.00686892970812622;0;2;464;Славянка;Slavjanka;0.5287655434700689
3398058;7597567;7;0.019696829001828904;0.023918912933127166;-0.0013663299567483987;0.001825807488738761;0.006290185520428922;0;2;758;Колпино;Kolpino;4840.821784269386
3398109;7597638;7;0.019632073865340806;0.02521721221088282;-0.0018761819176933252;0.002247751992946512;0.007019537069373343;0;2;758;Колпино;Kolpino;4808.471639955598
3398399;7597817;53;0.030460502379113387;0.11219392775013717;-0.0007411980471072247;0.0064603582751299035;0.08847060587237943;0;0;758;Колпино;Kolpino;4578.926157917212
3398402;7597792;11;0.0017651148608546926;0.003465723454916837;-0.00024811948803174304;0.0002940068301691211;0.0008885068869835431;0;2;758;Колпино;Kolpino;4568.5929683501545
3398402;7597796;53;0.0007360117900269523;0.0027926940997483733;-1.8320498231414683e-05;0.00016006272024003107;0.0022197069932430565;0;0;758;Колпино;Kolpino;4569.780214502495
3398405;7597770;11;0.15289409918384966;0.309459177317631;-0.024978070822791385;0.029455141436015415;0.07880652614406555;0;2;758;Колпино;Kolpino;4559.251121078819
3398427;7597820;53;0.0008529688639245998;0.0032364714068833776;-2.1231744891491873e-05;0.00018549773045730469;0.0025724329119818368;0;0;758;Колпино;Kolpino;4553.144096584094
3398431;7597772;11;0.0019064721395828008;0.003743272099073595;-0.00026798986383867393;0.0003175520432098409;0.0009596619820203831;0;2;758;Колпино;Kolpino;4534.980147460247
3401852;7592255;63;0.1572981387421385;0.4752893606790892;-0.003718422804495681;0.041349529254266555;0.2625428107539909;0;4;466;Колпинская;Kolpinskaja;0.15095992834585703
3401968;7916555;24;0.04800657660074977;0.05121987436570795;-0.0002968262207562949;0.0004564986575380387;0.0026848509742152804;0;2;992;Сортавальская;Sortaval'skaja;0.48277776431594355
3402765;7596438;39;0.027445165690659665;0.04694977718155565;-0.00036655363251501127;0.0030365409577058147;0.013870479261406617;0;0;758;Колпино;Kolpino;0.33745189150937227
3402998;7616091;8;0.046349896893277606;0.05729500364210114;0.00027903075536514493;0.011576329411178709;0.023178854039517298;0;2;755;Восточная;Vostochnaja;2953.103702796484
3403262;7619032;57;0.21067101020608064;0.6543012443028468;-0.004610048122319405;0.03815320799719234;0.4372211862088156;0;4;755;Восточная;Vostochnaja;0.5221885172173074
3403546;7618359;3;0.01919853112130788;0.026807683035918066;-0.006134086815176861;0.006134086815176474;0.010559282113477602;0;2;755;Восточная;Vostochnaja;730.5075552516232
3403810;7617903;3;0.0007613507974741509;0.0010613587998610937;-0.0002425616621586427;0.0002425616621586275;0.0004149006828435735;0;2;755;Восточная;Vostochnaja;1254.979161053757
3403832;7617906;39;0.016157588142913168;0.02739252894248135;-0.0002178276598030536;0.0017615523226976492;0.008061687379620049;0;0;755;Восточная;Vostochnaja;1262.0545995634589
3403832;7617908;39;0.0001561592796254024;0.0002656439872554588;-2.126803683992189e-06;1.7133474600455656e-05;7.849904638729179e-05;0;0;755;Восточная;Vostochnaja;1260.2701540063897
3403840;7616742;8;0.010873456490085297;0.027242956695672275;-0.002310593229926714;0.0037726594429654424;0.010799422193275624;0;2;755;Восточная;Vostochnaja;2361.934794247192
3408154;7562952;46;0.13478158448736713;0.2782437450218446;-0.0023517734512868123;0.020439172709263008;0.14183696609732127;0;4;850;Ленинградская;Leningradskaja;0.4509482564682322
3426976;8436448;44;0.29018391084880385;0.39645481759299983;0.0021571453270566574;0.03948862167295601;0.3505099589113318;0;4;999;Костомукша;Kostomuksha;0.27045652234028017
3450245;7394108;37;0.061196034524338014;0.09294053211150645;0.0004036163744052885;0.006297980144812911;0.02747884117728902;0;0;747;Юго-Западная;Jugo-Zapadnaja;0.43182011259908093
3455074;7929720;36;0.08519610483219975;0.0930283062860536;1.8757558150053594e-05;0.0013984386903521772;0.01449916784684245;0;0;991;Ляскеля;Ljaskelja;0.4239084929793537
3475599;7407017;10;0.0269380917565669;0.03987853821109249;-0.0018686478591402064;0.0026512836996745604;0.011882458184858918;0;2;28;Новгородская ТЭЦ;Novgorodskaja TETs;0.23943569224299258
3480548;7401221;34;0.05225821694903549;0.10845264818904728;-0.0013750404447214351;0.008188886684890494;0.04019858584833935;0;0;851;Новгородская;Novgorodskaja;0.1325996239820999
3481188;7401200;14;0.03942795636107852;0.05685494105281775;-0.002699763213461674;0.002990292789134706;0.012740544002877316;0;2;742;Новгородская;Novgorodskaja;0.4104478027345899
3494831;7289882;25;0.06483552196356543;0.10048329339783038;0.0007084651286975704;0.005465050946341976;0.031805948761348;0;2;745;Старорусская;Starorusskaja;0.4665033025144724
