x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation
6564127;6610632;31;0.01129709746986752;0.017388194915267188;-0.00022278196028586498;0.000458268416226675;0.005386975761588014;0.06429169030956941;0.002389929775640469
6568886;6850533;32;0.23810149222543592;0.31172460611249614;0.0002643846993832011;0.015751859606416587;0.28919447349862676;1.4237830620721685;0.08158660058571629
6570730;6594145;31;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6571079;6598461;50;0.0005422597413751207;0.0009891223624532185;2.293713360471363e-05;2.472623626818116e-05;0.0009891223624532185;0.004884336216653065;0.00042788921279925086
6573161;6600135;41;4.2393458515282186e-07;2.641781088810076e-06;-4.928434134138981e-08;6.60445272202519e-08;1.129930096874557e-06;5.699446676985916e-06;7.826650934976845e-07
6573592;6600189;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6573704;6587666;44;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6574054;6600212;10;0.002225402807807054;0.0025580035997245227;-2.9592887561320115e-05;0.00013799218655644976;0.0006321451859819774;0.007063376343753454;0.00019160083599523698
6575855;7121198;41;0.00550368088778645;0.007175142223842677;-5.378731135935256e-05;0.00011948051311995874;0.001484745758545773;0.03550370780004097;0.0006735894322477695
6576278;7117529;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6576290;7117552;41;0.0046088582455322685;0.005965588485511398;-4.4605782911563566e-05;9.896256809805394e-05;0.0011747184809543258;0.029725052912933984;0.0005559922629064024
6576802;7117535;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6576857;7117533;30;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6577117;7117524;41;0.00804792768322584;0.010933439820361015;-0.00010517829213092252;0.00020198012439129922;0.0024282256049369746;0.052207197511324584;0.0013071728216745503
6577131;7117498;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6583877;6609948;49;0.019228181737970765;0.02725429907112079;0.00016559952612063677;0.0017594932854174891;0.01034529044642813;0.14099064383363138;0.005996488724532315
6589731;6593565;60;0.00033045610370162294;0.0017295557096743811;-6.8033743610474885e-06;0.00011965297779944151;0.0017295557096743811;0.0042907200399272755;0.000444563536377986
6619637;6722661;31;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6620624;7106702;11;0.21135136437249222;0.218248447376243;0.0019548198702195644;0.002165774263825687;0.004951846229438006;0.7013205055137289;0.006654185359461154
6625277;7415204;60;0.009119421592731434;0.02029491041699699;3.1609050524465994e-05;0.0011239614091689575;0.015540130637285515;0.07903575704533121;0.004576789050142107
6625357;7110311;64;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6625394;7110337;64;0.008374132564381114;0.041474654377880185;-0.00035314763215305386;0.0016219891505856686;0.0192759228768231;0.09542271441048548;0.008493953978687638
6626513;7111480;64;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6628565;7388671;36;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6641020;6852762;63;0.18028007172634622;0.31182638311802774;0.00259882265887259;0.021404829351762737;0.28918756371232074;1.6028782568377018;0.09099640126834141
6653514;7412522;41;0.009230310402976505;0.012059630151710177;4.157094748844139e-05;0.0004382463576949009;0.007795308281588472;0.060853185597427764;0.002262991554513853
6660619;7307331;4;0.005098848484174225;0.0071588366890380315;-0.0012458684244734735;0.0012404560944722532;0.0016120025707753423;0.01057894941623933;0.0014072266424680255
6660935;7307528;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6662880;7405197;70;0.014667601464744745;0.026954177897574125;0.00011458220239038109;0.00174516089602248;0.015762618601326602;0.13498936679502294;0.006721428267351362
6663342;7197968;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6663397;7197971;8;0.03486065453336902;0.04200799816782059;-0.0005586334224614303;0.004875017882014518;0.011932252630451022;0.09921908823075952;0.003910012681949152
6663487;7197976;43;0.001881719018833877;0.002559161067416706;-1.9410022669380566e-05;5.05497977639314e-05;0.0006319817631297553;0.012457244108316536;0.0002608426748069254
6663498;7197938;43;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6664987;7389999;36;0.001363357147511092;0.0017126193699575564;-1.3519161155906393e-05;1.641404299565581e-05;6.493492866756255e-05;0.008225376399015931;0.000143573373168109
6665019;7389985;36;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6665840;7119152;60;0.016061650943714856;0.029714612367762194;3.3592483886411855e-05;0.0011908655642923545;0.025728099642674765;0.1396547560994204;0.008190292057190246
6666167;7118260;60;0.010195330699806595;0.02602365787079163;-2.999422975967571e-05;0.0011473328839108887;0.01681324534808991;0.08367782849189133;0.003571397710545208
